timestamp,mac_hash,rssi,gps_fix,lat,lon
2026-02-13 22:49:58,89701869d043c35c,-52,1,17.45614,78.41746
2026-02-13 22:50:03,85a22dc5aca4eea7,-99,1,17.45616,78.41748
2026-02-13 22:50:03,89701869d043c35c,-52,1,17.45616,78.41748
2026-02-13 22:50:08,811c2b1a940e4911,-93,1,17.45615,78.41748
2026-02-13 22:50:08,c682200218e555ff,-90,1,17.45615,78.41748
2026-02-13 22:50:08,85a22dc5aca4eea7,-98,1,17.45615,78.41748
2026-02-13 22:50:08,89701869d043c35c,-52,1,17.45615,78.41748
2026-02-13 22:50:13,85a22dc5aca4eea7,-97,1,17.45613,78.41748
2026-02-13 22:50:13,89701869d043c35c,-58,1,17.45613,78.41748
2026-02-13 22:50:18,85a22dc5aca4eea7,-98,1,17.45613,78.41747
2026-02-13 22:50:18,89701869d043c35c,-51,1,17.45613,78.41747
2026-02-13 22:50:18,c5a59d055f02a72f,-85,1,17.45613,78.41747
2026-02-13 22:50:18,60ab13031f8ca2da,-92,1,17.45613,78.41747
2026-02-13 22:50:23,85a22dc5aca4eea7,-96,1,17.45613,78.41749
2026-02-13 22:50:23,89701869d043c35c,-56,1,17.45613,78.41749
2026-02-13 22:50:23,60ab13031f8ca2da,-90,1,17.45613,78.41749
2026-02-13 22:50:28,85a22dc5aca4eea7,-97,1,17.45613,78.41747
2026-02-13 22:50:28,89701869d043c35c,-51,1,17.45613,78.41747
2026-02-13 22:50:33,85a22dc5aca4eea7,-96,1,17.45613,78.41746
2026-02-13 22:50:33,89701869d043c35c,-52,1,17.45613,78.41746
2026-02-13 22:50:38,85a22dc5aca4eea7,-99,1,17.45613,78.41749
2026-02-13 22:50:38,89701869d043c35c,-51,1,17.45613,78.41749
2026-02-13 22:50:38,c5a59d055f02a72f,-90,1,17.45613,78.41749
2026-02-13 22:50:43,85a22dc5aca4eea7,-97,1,17.45614,78.41747
2026-02-13 22:50:43,89701869d043c35c,-52,1,17.45614,78.41747
2026-02-13 22:50:48,811c2b1a940e4911,-96,1,17.45614,78.41748
2026-02-13 22:50:48,85a22dc5aca4eea7,-97,1,17.45614,78.41748
2026-02-13 22:50:48,89701869d043c35c,-51,1,17.45614,78.41748
2026-02-13 22:50:48,53afc71f744e117d,-95,1,17.45614,78.41748
2026-02-13 22:50:48,c5a59d055f02a72f,-86,1,17.45614,78.41748
2026-02-13 22:50:53,85a22dc5aca4eea7,-96,1,17.45615,78.41746
2026-02-13 22:50:53,89701869d043c35c,-52,1,17.45615,78.41746
2026-02-13 22:50:58,85a22dc5aca4eea7,-97,1,17.45615,78.41747
2026-02-13 22:50:58,89701869d043c35c,-51,1,17.45615,78.41747
2026-02-13 22:50:58,c5a59d055f02a72f,-87,1,17.45615,78.41747
2026-02-13 22:51:03,89701869d043c35c,-52,1,17.45614,78.41745
2026-02-13 22:51:08,811c2b1a940e4911,-96,1,17.45614,78.41746
2026-02-13 22:51:08,85a22dc5aca4eea7,-96,1,17.45614,78.41746
2026-02-13 22:51:08,89701869d043c35c,-51,1,17.45614,78.41746
2026-02-13 22:51:08,c5a59d055f02a72f,-86,1,17.45614,78.41746
2026-02-13 22:51:13,85a22dc5aca4eea7,-95,1,17.45614,78.41746
2026-02-13 22:51:13,89701869d043c35c,-51,1,17.45614,78.41746
2026-02-13 22:51:18,85a22dc5aca4eea7,-97,1,17.45615,78.41745
2026-02-13 22:51:18,89701869d043c35c,-52,1,17.45615,78.41745
2026-02-13 22:51:18,c5a59d055f02a72f,-88,1,17.45615,78.41745
2026-02-13 22:51:23,85a22dc5aca4eea7,-98,1,17.45614,78.41744
2026-02-13 22:51:23,89701869d043c35c,-50,1,17.45614,78.41744
2026-02-13 22:51:28,89701869d043c35c,-50,1,17.45613,78.41744
2026-02-13 22:51:28,c5a59d055f02a72f,-86,1,17.45613,78.41744
2026-02-13 22:51:33,85a22dc5aca4eea7,-96,1,17.45613,78.41745
2026-02-13 22:51:33,89701869d043c35c,-51,1,17.45613,78.41745
2026-02-13 22:51:38,85a22dc5aca4eea7,-97,1,17.45613,78.41745
2026-02-13 22:51:38,89701869d043c35c,-52,1,17.45613,78.41745
2026-02-13 22:51:43,85a22dc5aca4eea7,-98,1,17.45614,78.41744
2026-02-13 22:51:43,89701869d043c35c,-51,1,17.45614,78.41744
2026-02-13 22:51:43,c5a59d055f02a72f,-86,1,17.45614,78.41744
2026-02-13 22:51:48,85a22dc5aca4eea7,-98,1,17.45613,78.41744
2026-02-13 22:51:48,89701869d043c35c,-51,1,17.45613,78.41744
2026-02-13 22:51:53,85a22dc5aca4eea7,-96,1,17.45612,78.41743
2026-02-13 22:51:53,89701869d043c35c,-52,1,17.45612,78.41743
2026-02-13 22:51:58,85a22dc5aca4eea7,-96,1,17.45613,78.41741
2026-02-13 22:51:58,89701869d043c35c,-52,1,17.45613,78.41741
2026-02-13 22:52:03,47078579f92608a7,-96,1,17.45612,78.41742
2026-02-13 22:52:03,85a22dc5aca4eea7,-98,1,17.45612,78.41742
2026-02-13 22:52:03,89701869d043c35c,-52,1,17.45612,78.41742
2026-02-13 22:52:08,47078579f92608a7,-94,1,17.45613,78.41743
2026-02-13 22:52:08,85a22dc5aca4eea7,-98,1,17.45613,78.41743
2026-02-13 22:52:08,89701869d043c35c,-57,1,17.45613,78.41743
2026-02-13 22:52:13,47078579f92608a7,-94,1,17.45612,78.41743
2026-02-13 22:52:13,85a22dc5aca4eea7,-96,1,17.45612,78.41743
2026-02-13 22:52:13,89701869d043c35c,-51,1,17.45612,78.41743
2026-02-13 22:52:18,85a22dc5aca4eea7,-97,1,17.45612,78.41744
2026-02-13 22:52:18,89701869d043c35c,-52,1,17.45612,78.41744
2026-02-13 22:52:23,832ca23a13afac77,-91,1,17.45613,78.41743
2026-02-13 22:52:23,85a22dc5aca4eea7,-99,1,17.45613,78.41743
2026-02-13 22:52:23,89701869d043c35c,-50,1,17.45613,78.41743
2026-02-13 22:52:28,85a22dc5aca4eea7,-97,1,17.45614,78.41743
2026-02-13 22:52:28,89701869d043c35c,-52,1,17.45614,78.41743
2026-02-13 22:52:28,c5a59d055f02a72f,-89,1,17.45614,78.41743
2026-02-13 22:52:33,85a22dc5aca4eea7,-96,1,17.45615,78.41743
2026-02-13 22:52:33,89701869d043c35c,-52,1,17.45615,78.41743
2026-02-13 22:52:38,18d351807cad506b,-91,1,17.45616,78.41742
2026-02-13 22:52:38,9439219e85a8fb55,-91,1,17.45616,78.41742
2026-02-13 22:52:38,85a22dc5aca4eea7,-98,1,17.45616,78.41742
2026-02-13 22:52:38,89701869d043c35c,-59,1,17.45616,78.41742
2026-02-13 22:52:43,85a22dc5aca4eea7,-98,1,17.45616,78.41742
2026-02-13 22:52:43,89701869d043c35c,-56,1,17.45616,78.41742
2026-02-13 22:52:48,89701869d043c35c,-51,1,17.45616,78.41741
2026-02-13 22:52:53,be817d5aa51addf8,-93,1,17.45616,78.41743
