ts_unix,ts_local,mac_hash,gps_fix,lat,lon,rssi
1770527472.9188287,2026-02-08 10:41:12,d9b2fbc49f93bf04,1,17.45606,78.41747,-91
1770527479.913901,2026-02-08 10:41:19,d9b2fbc49f93bf04,1,17.45607,78.41746,-90
1770527486.9141827,2026-02-08 10:41:26,d9b2fbc49f93bf04,1,17.45607,78.41746,-92
1770527504.4661522,2026-02-08 10:41:44,d9b2fbc49f93bf04,1,17.45611,78.41748,-90
1770527507.402499,2026-02-08 10:41:47,47078579f92608a7,1,17.45611,78.41748,-93
1770527511.431562,2026-02-08 10:41:51,d9b2fbc49f93bf04,1,17.45611,78.41748,-92
1770527514.9322875,2026-02-08 10:41:54,d9b2fbc49f93bf04,1,17.45611,78.41747,-91
1770527518.4746165,2026-02-08 10:41:58,d9b2fbc49f93bf04,1,17.45611,78.41746,-91
1770527525.731967,2026-02-08 10:42:05,d9b2fbc49f93bf04,1,17.45610,78.41747,-91
1770527535.9223382,2026-02-08 10:42:15,f3a66ab99bdaa664,1,17.45607,78.41747,-95
1770527536.2252574,2026-02-08 10:42:16,d9b2fbc49f93bf04,1,17.45607,78.41747,-90
1770527543.2432024,2026-02-08 10:42:23,d9b2fbc49f93bf04,1,17.45608,78.41746,-91
1770527546.448089,2026-02-08 10:42:26,d9b2fbc49f93bf04,1,17.45608,78.41744,-91
1770527549.9515584,2026-02-08 10:42:29,d9b2fbc49f93bf04,1,17.45608,78.41745,-92
1770527553.4496038,2026-02-08 10:42:33,d9b2fbc49f93bf04,1,17.45608,78.41745,-90
1770527557.2535532,2026-02-08 10:42:37,d9b2fbc49f93bf04,1,17.45610,78.41744,-90
1770527560.4676752,2026-02-08 10:42:40,d9b2fbc49f93bf04,1,17.45612,78.41743,-91
1770527564.3398323,2026-02-08 10:42:44,d9b2fbc49f93bf04,1,17.45612,78.41742,-94
1770527570.968685,2026-02-08 10:42:50,d9b2fbc49f93bf04,1,17.45610,78.41743,-90
1770527581.4434237,2026-02-08 10:43:01,d9b2fbc49f93bf04,1,17.45611,78.41743,-91
1770527584.9378169,2026-02-08 10:43:04,d9b2fbc49f93bf04,1,17.45612,78.41742,-92
1770527588.4491553,2026-02-08 10:43:08,d9b2fbc49f93bf04,1,17.45612,78.41742,-91
1770527591.9446862,2026-02-08 10:43:11,d9b2fbc49f93bf04,1,17.45613,78.41743,-91
1770527623.5088809,2026-02-08 10:43:43,d9b2fbc49f93bf04,1,17.45616,78.41739,-92
1770527624.7843933,2026-02-08 10:43:44,fb5525f5e254de0d,1,17.45616,78.41739,-92
1770527630.5054915,2026-02-08 10:43:50,d9b2fbc49f93bf04,1,17.45613,78.41738,-91
1770527631.3533983,2026-02-08 10:43:51,d8c42e7d260a9527,1,17.45613,78.41738,-95
1770527633.95749,2026-02-08 10:43:53,d9b2fbc49f93bf04,1,17.45613,78.41738,-92
1770527637.4550467,2026-02-08 10:43:57,d9b2fbc49f93bf04,1,17.45614,78.41737,-91
1770527641.8829317,2026-02-08 10:44:01,d9b2fbc49f93bf04,1,17.45615,78.41736,-91
1770527648.2728848,2026-02-08 10:44:08,d8c42e7d260a9527,1,17.45615,78.41736,-91
1770527648.583089,2026-02-08 10:44:08,d9b2fbc49f93bf04,1,17.45615,78.41736,-92
1770527651.4766982,2026-02-08 10:44:11,d9b2fbc49f93bf04,1,17.45615,78.41736,-91
1770527655.2949965,2026-02-08 10:44:15,d9b2fbc49f93bf04,1,17.45614,78.41736,-92
1770527662.218475,2026-02-08 10:44:22,4c9626039d086c8a,1,17.45614,78.41738,-87
1770527668.4668431,2026-02-08 10:44:28,4c9626039d086c8a,1,17.45612,78.41738,-97
1770527669.0461357,2026-02-08 10:44:29,d9b2fbc49f93bf04,1,17.45612,78.41738,-92
1770527675.466521,2026-02-08 10:44:35,e895ec618eac80d1,1,17.45612,78.41736,-94
1770527678.968406,2026-02-08 10:44:38,f3a66ab99bdaa664,1,17.45610,78.41736,-97
1770527679.634746,2026-02-08 10:44:39,e895ec618eac80d1,1,17.45610,78.41736,-93
1770527683.443781,2026-02-08 10:44:43,d9b2fbc49f93bf04,1,17.45610,78.41737,-97
1770527686.508302,2026-02-08 10:44:46,d9b2fbc49f93bf04,1,17.45610,78.41736,-91
1770527690.652791,2026-02-08 10:44:50,d9b2fbc49f93bf04,1,17.45610,78.41736,-90
1770527704.407505,2026-02-08 10:45:04,d9b2fbc49f93bf04,1,17.45609,78.41736,-92
1770527711.951467,2026-02-08 10:45:11,d9b2fbc49f93bf04,1,17.45610,78.41737,-93
1770527915.388272,2026-02-08 10:48:35,7c9651cbc9956a8d,1,17.45610,78.41736,-85
1770527917.667527,2026-02-08 10:48:37,7c9651cbc9956a8d,1,17.45612,78.41735,-87
1770527922.5008261,2026-02-08 10:48:42,7c9651cbc9956a8d,1,17.45609,78.41736,-90
1770527926.2015111,2026-02-08 10:48:46,7c9651cbc9956a8d,1,17.45608,78.41738,-93
1770527928.206783,2026-02-08 10:48:48,7c9651cbc9956a8d,1,17.45608,78.41741,-91
1770527938.7728484,2026-02-08 10:48:58,7c9651cbc9956a8d,1,17.45609,78.41743,-90
1770527942.2070572,2026-02-08 10:49:02,7c9651cbc9956a8d,1,17.45608,78.41742,-91
1770528077.6126456,2026-02-08 10:51:17,f3a66ab99bdaa664,1,17.45610,78.41746,-91
1770528083.1152575,2026-02-08 10:51:23,f3a66ab99bdaa664,1,17.45609,78.41747,-93
1770528214.629124,2026-02-08 10:53:34,85a22dc5aca4eea7,1,17.45610,78.41743,-100
1770528214.629124,2026-02-08 10:53:34,d9f79726ff246ac0,1,17.45610,78.41743,-95
1770528216.0533261,2026-02-08 10:53:36,d9f79726ff246ac0,1,17.45610,78.41743,-92
1770528221.6430118,2026-02-08 10:53:41,85a22dc5aca4eea7,1,17.45608,78.41743,-100
1770528224.2881124,2026-02-08 10:53:44,d9f79726ff246ac0,1,17.45610,78.41744,-92
1770528232.9679184,2026-02-08 10:53:52,d9f79726ff246ac0,1,17.45612,78.41745,-94
1770528238.8843136,2026-02-08 10:53:58,d9b2fbc49f93bf04,1,17.45611,78.41745,-93
1770528253.1521437,2026-02-08 10:54:13,d9f79726ff246ac0,1,17.45610,78.41748,-96
1770528256.6495984,2026-02-08 10:54:16,d9b2fbc49f93bf04,1,17.45610,78.41748,-94
1770528260.1618612,2026-02-08 10:54:20,d9f79726ff246ac0,1,17.45610,78.41748,-96
1770528260.1628618,2026-02-08 10:54:20,1b653074198a6124,1,17.45610,78.41748,-99
1770528263.6640844,2026-02-08 10:54:23,1b653074198a6124,1,17.45609,78.41747,-97
1770528267.1665514,2026-02-08 10:54:27,d9b2fbc49f93bf04,1,17.45609,78.41747,-94
1770528267.1685514,2026-02-08 10:54:27,d9f79726ff246ac0,1,17.45609,78.41747,-97
1770528280.2869663,2026-02-08 10:54:40,d9b2fbc49f93bf04,1,17.45609,78.41747,-94
1770528285.7826355,2026-02-08 10:54:45,d9b2fbc49f93bf04,1,17.45608,78.41746,-93
1770528289.3093498,2026-02-08 10:54:49,d9b2fbc49f93bf04,1,17.45609,78.41746,-93
1770528292.2211554,2026-02-08 10:54:52,d9b2fbc49f93bf04,1,17.45607,78.41744,-94
1770528300.9708333,2026-02-08 10:55:00,d9b2fbc49f93bf04,1,17.45607,78.41745,-93
1770528305.5385354,2026-02-08 10:55:05,b97d787efc7cbcc0,1,17.45607,78.41746,-94
1770528313.188329,2026-02-08 10:55:13,d9b2fbc49f93bf04,1,17.45606,78.41748,-95
1770528314.6106267,2026-02-08 10:55:14,4d4c56c34a4bd14c,1,17.45606,78.41749,-97
1770528346.6119053,2026-02-08 10:55:46,b5dcd3d51f85b647,1,17.45609,78.41750,-98
1770528361.6922169,2026-02-08 10:56:01,d9b2fbc49f93bf04,1,17.45610,78.41751,-93
1770528363.7543974,2026-02-08 10:56:03,d9b2fbc49f93bf04,1,17.45610,78.41751,-95
1770528373.9127355,2026-02-08 10:56:13,d9b2fbc49f93bf04,1,17.45612,78.41751,-94
1770528383.8157635,2026-02-08 10:56:23,d9b2fbc49f93bf04,1,17.45611,78.41751,-96
1770528396.122578,2026-02-08 10:56:36,d9b2fbc49f93bf04,1,17.45613,78.41748,-93
1770528412.4564824,2026-02-08 10:56:52,d9b2fbc49f93bf04,1,17.45613,78.41746,-94
1770528418.878566,2026-02-08 10:56:58,d9b2fbc49f93bf04,1,17.45613,78.41745,-95
1770528435.745205,2026-02-08 10:57:15,d9b2fbc49f93bf04,1,17.45615,78.41744,-94
1770528442.2282276,2026-02-08 10:57:22,328463c7b4c8ff2d,1,17.45613,78.41744,-96
1770528450.2096062,2026-02-08 10:57:30,328463c7b4c8ff2d,1,17.45613,78.41743,-98
1770528456.7538364,2026-02-08 10:57:36,d9b2fbc49f93bf04,1,17.45614,78.41743,-93
1770528456.8502402,2026-02-08 10:57:36,b5dcd3d51f85b647,1,17.45614,78.41743,-97
1770528466.7455947,2026-02-08 10:57:46,1b653074198a6124,1,17.45615,78.41746,-96
1770528473.7502277,2026-02-08 10:57:53,d9b2fbc49f93bf04,1,17.45615,78.41748,-96
1770528477.2517657,2026-02-08 10:57:57,d9b2fbc49f93bf04,1,17.45616,78.41749,-92
1770528487.758286,2026-02-08 10:58:07,d9b2fbc49f93bf04,1,17.45615,78.41749,-94
1770528505.2601764,2026-02-08 10:58:25,d9b2fbc49f93bf04,1,17.45616,78.41748,-96
